Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementAp\cypher\run5\5_46.cypher;46;x;77;2;249
.\measurementAp\cypher\run5\5_47.cypher;47;x;78;4;253
.\measurementAp\cypher\run5\5_48.cypher;48;x;78;2;255
.\measurementAp\cypher\run5\5_49.cypher;49;x;78;1;256
.\measurementAp\cypher\run5\5_50.cypher;50;x;78;0;256
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementAp\cypher\run6\6_1.cypher;1;x;63;63;63
.\measurementAp\cypher\run6\6_2.cypher;2;x;63;12;75
.\measurementAp\cypher\run6\6_3.cypher;3;x;63;13;88
.\measurementAp\cypher\run6\6_4.cypher;4;x;66;12;100
.\measurementAp\cypher\run6\6_5.cypher;5;x;66;7;107
.\measurementAp\cypher\run6\6_6.cypher;6;x;66;6;113
.\measurementAp\cypher\run6\6_7.cypher;7;x;69;21;134
.\measurementAp\cypher\run6\6_8.cypher;8;x;71;11;145
.\measurementAp\cypher\run6\6_9.cypher;9;x;71;4;149
.\measurementAp\cypher\run6\6_10.cypher;10;x;71;6;155
.\measurementAp\cypher\run6\6_11.cypher;11;x;71;3;158
.\measurementAp\cypher\run6\6_12.cypher;12;x;69;3;161
.\measurementAp\cypher\run6\6_13.cypher;13;x;71;2;163
.\measurementAp\cypher\run6\6_14.cypher;14;x;71;1;164
.\measurementAp\cypher\run6\6_15.cypher;15;x;74;10;174
.\measurementAp\cypher\run6\6_16.cypher;16;x;74;5;179
.\measurementAp\cypher\run6\6_17.cypher;17;x;74;8;187
.\measurementAp\cypher\run6\6_18.cypher;18;x;67;12;199
.\measurementAp\cypher\run6\6_19.cypher;19;x;67;0;199
.\measurementAp\cypher\run6\6_20.cypher;20;x;67;0;199
.\measurementAp\cypher\run6\6_21.cypher;21;x;67;0;199
.\measurementAp\cypher\run6\6_22.cypher;22;x;65;0;199
.\measurementAp\cypher\run6\6_23.cypher;23;x;65;0;199
.\measurementAp\cypher\run6\6_24.cypher;24;x;68;4;203
.\measurementAp\cypher\run6\6_25.cypher;25;x;68;0;203
.\measurementAp\cypher\run6\6_26.cypher;26;x;68;0;203
.\measurementAp\cypher\run6\6_27.cypher;27;x;68;0;203
.\measurementAp\cypher\run6\6_28.cypher;28;x;66;1;204
.\measurementAp\cypher\run6\6_29.cypher;29;x;66;0;204
.\measurementAp\cypher\run6\6_30.cypher;30;x;68;4;208
.\measurementAp\cypher\run6\6_31.cypher;31;x;68;2;210
.\measurementAp\cypher\run6\6_32.cypher;32;x;68;0;210
.\measurementAp\cypher\run6\6_33.cypher;33;x;66;2;212
.\measurementAp\cypher\run6\6_34.cypher;34;x;68;0;212
.\measurementAp\cypher\run6\6_35.cypher;35;x;66;2;214
.\measurementAp\cypher\run6\6_36.cypher;36;x;78;12;226
.\measurementAp\cypher\run6\6_37.cypher;37;x;78;10;236
.\measurementAp\cypher\run6\6_38.cypher;38;x;77;11;247
.\measurementAp\cypher\run6\6_39.cypher;39;x;68;4;251
.\measurementAp\cypher\run6\6_40.cypher;40;x;68;2;253
.\measurementAp\cypher\run6\6_41.cypher;41;x;68;0;253
.\measurementAp\cypher\run6\6_42.cypher;42;x;66;2;255
.\measurementAp\cypher\run6\6_43.cypher;43;x;68;0;255
.\measurementAp\cypher\run6\6_44.cypher;44;x;66;2;257
.\measurementAp\cypher\run6\6_45.cypher;45;x;68;4;261
.\measurementAp\cypher\run6\6_46.cypher;46;x;68;1;262
.\measurementAp\cypher\run6\6_47.cypher;47;x;68;0;262
.\measurementAp\cypher\run6\6_48.cypher;48;x;68;0;262
.\measurementAp\cypher\run6\6_49.cypher;49;x;66;0;262
.\measurementAp\cypher\run6\6_50.cypher;50;x;66;0;262
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementAp\cypher\run7\7_1.cypher;1;x;58;58;58
.\measurementAp\cypher\run7\7_2.cypher;2;x;58;0;58
.\measurementAp\cypher\run7\7_3.cypher;3;x;59;8;66
.\measurementAp\cypher\run7\7_4.cypher;4;x;58;0;66
.\measurementAp\cypher\run7\7_5.cypher;5;x;59;0;66
.\measurementAp\cypher\run7\7_6.cypher;6;x;59;0;66
.\measurementAp\cypher\run7\7_7.cypher;7;x;63;19;85
.\measurementAp\cypher\run7\7_8.cypher;8;x;63;13;98
.\measurementAp\cypher\run7\7_9.cypher;9;x;63;0;98
.\measurementAp\cypher\run7\7_10.cypher;10;x;63;0;98
.\measurementAp\cypher\run7\7_11.cypher;11;x;63;0;98
.\measurementAp\cypher\run7\7_12.cypher;12;x;63;0;98
.\measurementAp\cypher\run7\7_13.cypher;13;x;63;10;108
.\measurementAp\cypher\run7\7_14.cypher;14;x;63;0;108
.\measurementAp\cypher\run7\7_15.cypher;15;x;63;0;108
.\measurementAp\cypher\run7\7_16.cypher;16;x;66;15;123
.\measurementAp\cypher\run7\7_17.cypher;17;x;66;7;130
.\measurementAp\cypher\run7\7_18.cypher;18;x;66;6;136
.\measurementAp\cypher\run7\7_19.cypher;19;x;70;11;147
.\measurementAp\cypher\run7\7_20.cypher;20;x;68;12;159
.\measurementAp\cypher\run7\7_21.cypher;21;x;68;10;169
.\measurementAp\cypher\run7\7_22.cypher;22;x;66;4;173
.\measurementAp\cypher\run7\7_23.cypher;23;x;66;0;173
.\measurementAp\cypher\run7\7_24.cypher;24;x;66;1;174
.\measurementAp\cypher\run7\7_25.cypher;25;x;66;1;175
.\measurementAp\cypher\run7\7_26.cypher;26;x;64;7;182
.\measurementAp\cypher\run7\7_27.cypher;27;x;64;2;184
.\measurementAp\cypher\run7\7_28.cypher;28;x;64;2;186
.\measurementAp\cypher\run7\7_29.cypher;29;x;64;0;186
.\measurementAp\cypher\run7\7_30.cypher;30;x;64;2;188
.\measurementAp\cypher\run7\7_31.cypher;31;x;64;0;188
.\measurementAp\cypher\run7\7_32.cypher;32;x;69;6;194
.\measurementAp\cypher\run7\7_33.cypher;33;x;69;4;198
.\measurementAp\cypher\run7\7_34.cypher;34;x;64;4;202
.\measurementAp\cypher\run7\7_35.cypher;35;x;64;0;202
.\measurementAp\cypher\run7\7_36.cypher;36;x;64;0;202
.\measurementAp\cypher\run7\7_37.cypher;37;x;64;0;202
.\measurementAp\cypher\run7\7_38.cypher;38;x;64;4;206
.\measurementAp\cypher\run7\7_39.cypher;39;x;64;2;208
.\measurementAp\cypher\run7\7_40.cypher;40;x;64;0;208
.\measurementAp\cypher\run7\7_41.cypher;41;x;64;2;210
.\measurementAp\cypher\run7\7_42.cypher;42;x;64;0;210
.\measurementAp\cypher\run7\7_43.cypher;43;x;64;2;212
.\measurementAp\cypher\run7\7_44.cypher;44;x;64;4;216
.\measurementAp\cypher\run7\7_45.cypher;45;x;64;0;216
.\measurementAp\cypher\run7\7_46.cypher;46;x;63;4;220
.\measurementAp\cypher\run7\7_47.cypher;47;x;63;0;220
.\measurementAp\cypher\run7\7_48.cypher;48;x;63;0;220
.\measurementAp\cypher\run7\7_49.cypher;49;x;63;1;221
.\measurementAp\cypher\run7\7_50.cypher;50;x;63;0;221
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementAp\cypher\run8\8_1.cypher;1;x;63;63;63
.\measurementAp\cypher\run8\8_2.cypher;2;x;63;15;78
.\measurementAp\cypher\run8\8_3.cypher;3;x;63;9;87
.\measurementAp\cypher\run8\8_4.cypher;4;x;63;7;94
.\measurementAp\cypher\run8\8_5.cypher;5;x;63;0;94
.\measurementAp\cypher\run8\8_6.cypher;6;x;63;1;95
.\measurementAp\cypher\run8\8_7.cypher;7;x;63;0;95
.\measurementAp\cypher\run8\8_8.cypher;8;x;63;7;102
.\measurementAp\cypher\run8\8_9.cypher;9;x;63;0;102
.\measurementAp\cypher\run8\8_10.cypher;10;x;64;4;106
.\measurementAp\cypher\run8\8_11.cypher;11;x;64;0;106
.\measurementAp\cypher\run8\8_12.cypher;12;x;64;0;106
.\measurementAp\cypher\run8\8_13.cypher;13;x;64;0;106
.\measurementAp\cypher\run8\8_14.cypher;14;x;64;0;106
.\measurementAp\cypher\run8\8_15.cypher;15;x;64;0;106
.\measurementAp\cypher\run8\8_16.cypher;16;x;64;4;110
.\measurementAp\cypher\run8\8_17.cypher;17;x;64;0;110
.\measurementAp\cypher\run8\8_18.cypher;18;x;64;1;111
.\measurementAp\cypher\run8\8_19.cypher;19;x;64;0;111
.\measurementAp\cypher\run8\8_20.cypher;20;x;64;0;111
.\measurementAp\cypher\run8\8_21.cypher;21;x;64;0;111
.\measurementAp\cypher\run8\8_22.cypher;22;x;64;4;115
.\measurementAp\cypher\run8\8_23.cypher;23;x;64;2;117
.\measurementAp\cypher\run8\8_24.cypher;24;x;64;0;117
.\measurementAp\cypher\run8\8_25.cypher;25;x;64;2;119
.\measurementAp\cypher\run8\8_26.cypher;26;x;64;0;119
.\measurementAp\cypher\run8\8_27.cypher;27;x;64;2;121
.\measurementAp\cypher\run8\8_28.cypher;28;x;64;4;125
.\measurementAp\cypher\run8\8_29.cypher;29;x;64;2;127
.\measurementAp\cypher\run8\8_30.cypher;30;x;64;2;129
.\measurementAp\cypher\run8\8_31.cypher;31;x;64;0;129
.\measurementAp\cypher\run8\8_32.cypher;32;x;64;0;129
.\measurementAp\cypher\run8\8_33.cypher;33;x;64;2;131
.\measurementAp\cypher\run8\8_34.cypher;34;x;67;15;146
.\measurementAp\cypher\run8\8_35.cypher;35;x;71;15;161
.\measurementAp\cypher\run8\8_36.cypher;36;x;68;5;166
.\measurementAp\cypher\run8\8_37.cypher;37;x;68;0;166
.\measurementAp\cypher\run8\8_38.cypher;38;x;68;0;166
.\measurementAp\cypher\run8\8_39.cypher;39;x;68;0;166
.\measurementAp\cypher\run8\8_40.cypher;40;x;68;0;166
.\measurementAp\cypher\run8\8_41.cypher;41;x;68;6;172
.\measurementAp\cypher\run8\8_42.cypher;42;x;68;9;181
.\measurementAp\cypher\run8\8_43.cypher;43;x;68;0;181
.\measurementAp\cypher\run8\8_44.cypher;44;x;68;4;185
.\measurementAp\cypher\run8\8_45.cypher;45;x;68;4;189
.\measurementAp\cypher\run8\8_46.cypher;46;x;69;2;191
.\measurementAp\cypher\run8\8_47.cypher;47;x;69;0;191
.\measurementAp\cypher\run8\8_48.cypher;48;x;68;4;195
.\measurementAp\cypher\run8\8_49.cypher;49;x;68;0;195
.\measurementAp\cypher\run8\8_50.cypher;50;x;69;2;197
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementAp\cypher\run9\9_1.cypher;1;x;59;59;59
.\measurementAp\cypher\run9\9_2.cypher;2;x;63;13;72
.\measurementAp\cypher\run9\9_3.cypher;3;x;63;0;72
.\measurementAp\cypher\run9\9_4.cypher;4;x;63;12;84
.\measurementAp\cypher\run9\9_5.cypher;5;x;63;0;84
.\measurementAp\cypher\run9\9_6.cypher;6;x;59;0;84
.\measurementAp\cypher\run9\9_7.cypher;7;x;63;9;93
.\measurementAp\cypher\run9\9_8.cypher;8;x;63;0;93
.\measurementAp\cypher\run9\9_9.cypher;9;x;67;16;109
.\measurementAp\cypher\run9\9_10.cypher;10;x;67;5;114
.\measurementAp\cypher\run9\9_11.cypher;11;x;67;0;114
.\measurementAp\cypher\run9\9_12.cypher;12;x;67;0;114
.\measurementAp\cypher\run9\9_13.cypher;13;x;65;9;123
.\measurementAp\cypher\run9\9_14.cypher;14;x;65;0;123
.\measurementAp\cypher\run9\9_15.cypher;15;x;66;6;129
.\measurementAp\cypher\run9\9_16.cypher;16;x;66;3;132
.\measurementAp\cypher\run9\9_17.cypher;17;x;66;0;132
.\measurementAp\cypher\run9\9_18.cypher;18;x;66;2;134
.\measurementAp\cypher\run9\9_19.cypher;19;x;66;0;134
.\measurementAp\cypher\run9\9_20.cypher;20;x;66;0;134
.\measurementAp\cypher\run9\9_21.cypher;21;x;63;0;134
.\measurementAp\cypher\run9\9_22.cypher;22;x;63;0;134
.\measurementAp\cypher\run9\9_23.cypher;23;x;63;0;134
.\measurementAp\cypher\run9\9_24.cypher;24;x;63;0;134
.\measurementAp\cypher\run9\9_25.cypher;25;x;63;0;134
.\measurementAp\cypher\run9\9_26.cypher;26;x;63;0;134
.\measurementAp\cypher\run9\9_27.cypher;27;x;71;17;151
.\measurementAp\cypher\run9\9_28.cypher;28;x;71;9;160
.\measurementAp\cypher\run9\9_29.cypher;29;x;71;4;164
.\measurementAp\cypher\run9\9_30.cypher;30;x;69;3;167
.\measurementAp\cypher\run9\9_31.cypher;31;x;71;3;170
.\measurementAp\cypher\run9\9_32.cypher;32;x;67;2;172
.\measurementAp\cypher\run9\9_33.cypher;33;x;67;0;172
.\measurementAp\cypher\run9\9_34.cypher;34;x;71;3;175
.\measurementAp\cypher\run9\9_35.cypher;35;x;71;0;175
.\measurementAp\cypher\run9\9_36.cypher;36;x;67;0;175
.\measurementAp\cypher\run9\9_37.cypher;37;x;67;0;175
.\measurementAp\cypher\run9\9_38.cypher;38;x;67;0;175
.\measurementAp\cypher\run9\9_39.cypher;39;x;71;2;177
.\measurementAp\cypher\run9\9_40.cypher;40;x;67;0;177
.\measurementAp\cypher\run9\9_41.cypher;41;x;71;1;178
.\measurementAp\cypher\run9\9_42.cypher;42;x;71;0;178
.\measurementAp\cypher\run9\9_43.cypher;43;x;69;1;179
.\measurementAp\cypher\run9\9_44.cypher;44;x;69;0;179
.\measurementAp\cypher\run9\9_45.cypher;45;x;74;16;195
.\measurementAp\cypher\run9\9_46.cypher;46;x;71;5;200
.\measurementAp\cypher\run9\9_47.cypher;47;x;71;0;200
.\measurementAp\cypher\run9\9_48.cypher;48;x;72;7;207
.\measurementAp\cypher\run9\9_49.cypher;49;x;72;1;208
.\measurementAp\cypher\run9\9_50.cypher;50;x;71;4;212
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementApp\cypher\run1\1_1.cypher;1;x;72;72;72
.\measurementApp\cypher\run1\1_2.cypher;2;x;72;33;105
.\measurementApp\cypher\run1\1_3.cypher;3;x;75;16;121
.\measurementApp\cypher\run1\1_4.cypher;4;x;78;15;136
.\measurementApp\cypher\run1\1_5.cypher;5;x;78;8;144
.\measurementApp\cypher\run1\1_6.cypher;6;x;75;5;149
.\measurementApp\cypher\run1\1_7.cypher;7;x;75;2;151
.\measurementApp\cypher\run1\1_8.cypher;8;x;78;2;153
.\measurementApp\cypher\run1\1_9.cypher;9;x;74;4;157
.\measurementApp\cypher\run1\1_10.cypher;10;x;74;2;159
.\measurementApp\cypher\run1\1_11.cypher;11;x;74;2;161
.\measurementApp\cypher\run1\1_12.cypher;12;x;79;17;178
.\measurementApp\cypher\run1\1_13.cypher;13;x;80;9;187
.\measurementApp\cypher\run1\1_14.cypher;14;x;85;22;209
.\measurementApp\cypher\run1\1_15.cypher;15;x;85;6;215
.\measurementApp\cypher\run1\1_16.cypher;16;x;85;6;221
.\measurementApp\cypher\run1\1_17.cypher;17;x;80;15;236
.\measurementApp\cypher\run1\1_18.cypher;18;x;80;5;241
.\measurementApp\cypher\run1\1_19.cypher;19;x;80;4;245
.\measurementApp\cypher\run1\1_20.cypher;20;x;78;4;249
.\measurementApp\cypher\run1\1_21.cypher;21;x;79;6;255
.\measurementApp\cypher\run1\1_22.cypher;22;x;80;3;258
.\measurementApp\cypher\run1\1_23.cypher;23;x;80;1;259
.\measurementApp\cypher\run1\1_24.cypher;24;x;80;0;259
.\measurementApp\cypher\run1\1_25.cypher;25;x;79;3;262
.\measurementApp\cypher\run1\1_26.cypher;26;x;79;0;262
.\measurementApp\cypher\run1\1_27.cypher;27;x;80;2;264
.\measurementApp\cypher\run1\1_28.cypher;28;x;80;0;264
.\measurementApp\cypher\run1\1_29.cypher;29;x;78;8;272
.\measurementApp\cypher\run1\1_30.cypher;30;x;78;0;272
.\measurementApp\cypher\run1\1_31.cypher;31;x;78;0;272
.\measurementApp\cypher\run1\1_32.cypher;32;x;85;12;284
.\measurementApp\cypher\run1\1_33.cypher;33;x;78;1;285
.\measurementApp\cypher\run1\1_34.cypher;34;x;79;4;289
.\measurementApp\cypher\run1\1_35.cypher;35;x;79;2;291
.\measurementApp\cypher\run1\1_36.cypher;36;x;79;0;291
.\measurementApp\cypher\run1\1_37.cypher;37;x;79;2;293
.\measurementApp\cypher\run1\1_38.cypher;38;x;79;4;297
.\measurementApp\cypher\run1\1_39.cypher;39;x;79;0;297
.\measurementApp\cypher\run1\1_40.cypher;40;x;79;0;297
.\measurementApp\cypher\run1\1_41.cypher;41;x;79;0;297
.\measurementApp\cypher\run1\1_42.cypher;42;x;79;4;301
.\measurementApp\cypher\run1\1_43.cypher;43;x;79;2;303
.\measurementApp\cypher\run1\1_44.cypher;44;x;79;0;303
.\measurementApp\cypher\run1\1_45.cypher;45;x;79;2;305
.\measurementApp\cypher\run1\1_46.cypher;46;x;79;1;306
.\measurementApp\cypher\run1\1_47.cypher;47;x;79;0;306
.\measurementApp\cypher\run1\1_48.cypher;48;x;79;0;306
.\measurementApp\cypher\run1\1_49.cypher;49;x;79;0;306
.\measurementApp\cypher\run1\1_50.cypher;50;x;79;4;310
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementApp\cypher\run10\10_1.cypher;1;x;71;71;71
.\measurementApp\cypher\run10\10_2.cypher;2;x;72;16;87
.\measurementApp\cypher\run10\10_3.cypher;3;x;71;0;87
.\measurementApp\cypher\run10\10_4.cypher;4;x;72;9;96
.\measurementApp\cypher\run10\10_5.cypher;5;x;77;32;128
.\measurementApp\cypher\run10\10_6.cypher;6;x;78;10;138
.\measurementApp\cypher\run10\10_7.cypher;7;x;78;8;146
.\measurementApp\cypher\run10\10_8.cypher;8;x;73;7;153
.\measurementApp\cypher\run10\10_9.cypher;9;x;73;6;159
.\measurementApp\cypher\run10\10_10.cypher;10;x;75;11;170
.\measurementApp\cypher\run10\10_11.cypher;11;x;76;10;180
.\measurementApp\cypher\run10\10_12.cypher;12;x;76;0;180
.\measurementApp\cypher\run10\10_13.cypher;13;x;76;6;186
.\measurementApp\cypher\run10\10_14.cypher;14;x;75;5;191
.\measurementApp\cypher\run10\10_15.cypher;15;x;74;4;195
.\measurementApp\cypher\run10\10_16.cypher;16;x;75;6;201
.\measurementApp\cypher\run10\10_17.cypher;17;x;75;9;210
.\measurementApp\cypher\run10\10_18.cypher;18;x;75;0;210
.\measurementApp\cypher\run10\10_19.cypher;19;x;75;0;210
.\measurementApp\cypher\run10\10_20.cypher;20;x;74;0;210
.\measurementApp\cypher\run10\10_21.cypher;21;x;78;5;215
.\measurementApp\cypher\run10\10_22.cypher;22;x;74;4;219
.\measurementApp\cypher\run10\10_23.cypher;23;x;74;2;221
.\measurementApp\cypher\run10\10_24.cypher;24;x;74;0;221
.\measurementApp\cypher\run10\10_25.cypher;25;x;75;1;222
.\measurementApp\cypher\run10\10_26.cypher;26;x;78;11;233
.\measurementApp\cypher\run10\10_27.cypher;27;x;77;2;235
.\measurementApp\cypher\run10\10_28.cypher;28;x;79;0;235
.\measurementApp\cypher\run10\10_29.cypher;29;x;75;2;237
.\measurementApp\cypher\run10\10_30.cypher;30;x;76;4;241
.\measurementApp\cypher\run10\10_31.cypher;31;x;79;2;243
.\measurementApp\cypher\run10\10_32.cypher;32;x;76;0;243
.\measurementApp\cypher\run10\10_33.cypher;33;x;77;0;243
.\measurementApp\cypher\run10\10_34.cypher;34;x;79;2;245
.\measurementApp\cypher\run10\10_35.cypher;35;x;78;0;245
.\measurementApp\cypher\run10\10_36.cypher;36;x;77;0;245
.\measurementApp\cypher\run10\10_37.cypher;37;x;78;5;250
.\measurementApp\cypher\run10\10_38.cypher;38;x;76;4;254
.\measurementApp\cypher\run10\10_39.cypher;39;x;77;0;254
.\measurementApp\cypher\run10\10_40.cypher;40;x;79;0;254
.\measurementApp\cypher\run10\10_41.cypher;41;x;76;0;254
.\measurementApp\cypher\run10\10_42.cypher;42;x;77;0;254
.\measurementApp\cypher\run10\10_43.cypher;43;x;78;1;255
.\measurementApp\cypher\run10\10_44.cypher;44;x;79;0;255
.\measurementApp\cypher\run10\10_45.cypher;45;x;78;2;257
.\measurementApp\cypher\run10\10_46.cypher;46;x;74;4;261
.\measurementApp\cypher\run10\10_47.cypher;47;x;75;0;261
.\measurementApp\cypher\run10\10_48.cypher;48;x;74;0;261
.\measurementApp\cypher\run10\10_49.cypher;49;x;74;0;261
.\measurementApp\cypher\run10\10_50.cypher;50;x;75;0;261
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementApp\cypher\run2\2_1.cypher;1;x;68;68;68
.\measurementApp\cypher\run2\2_2.cypher;2;x;68;9;77
.\measurementApp\cypher\run2\2_3.cypher;3;x;68;7;84
.\measurementApp\cypher\run2\2_4.cypher;4;x;68;2;86
.\measurementApp\cypher\run2\2_5.cypher;5;x;68;4;90
.\measurementApp\cypher\run2\2_6.cypher;6;x;67;4;94
.\measurementApp\cypher\run2\2_7.cypher;7;x;68;4;98
.\measurementApp\cypher\run2\2_8.cypher;8;x;68;0;98
.\measurementApp\cypher\run2\2_9.cypher;9;x;68;0;98
.\measurementApp\cypher\run2\2_10.cypher;10;x;67;2;100
.\measurementApp\cypher\run2\2_11.cypher;11;x;70;28;128
.\measurementApp\cypher\run2\2_12.cypher;12;x;72;10;138
.\measurementApp\cypher\run2\2_13.cypher;13;x;70;6;144
.\measurementApp\cypher\run2\2_14.cypher;14;x;72;3;147
.\measurementApp\cypher\run2\2_15.cypher;15;x;70;0;147
.\measurementApp\cypher\run2\2_16.cypher;16;x;72;2;149
.\measurementApp\cypher\run2\2_17.cypher;17;x;75;20;169
.\measurementApp\cypher\run2\2_18.cypher;18;x;75;12;181
.\measurementApp\cypher\run2\2_19.cypher;19;x;70;6;187
.\measurementApp\cypher\run2\2_20.cypher;20;x;72;1;188
.\measurementApp\cypher\run2\2_21.cypher;21;x;69;3;191
.\measurementApp\cypher\run2\2_22.cypher;22;x;71;2;193
.\measurementApp\cypher\run2\2_23.cypher;23;x;74;3;196
.\measurementApp\cypher\run2\2_24.cypher;24;x;74;2;198
.\measurementApp\cypher\run2\2_25.cypher;25;x;67;7;205
.\measurementApp\cypher\run2\2_26.cypher;26;x;67;3;208
.\measurementApp\cypher\run2\2_27.cypher;27;x;68;0;208
.\measurementApp\cypher\run2\2_28.cypher;28;x;68;0;208
.\measurementApp\cypher\run2\2_29.cypher;29;x;68;0;208
.\measurementApp\cypher\run2\2_30.cypher;30;x;68;2;210
.\measurementApp\cypher\run2\2_31.cypher;31;x;68;0;210
.\measurementApp\cypher\run2\2_32.cypher;32;x;68;0;210
.\measurementApp\cypher\run2\2_33.cypher;33;x;68;0;210
.\measurementApp\cypher\run2\2_34.cypher;34;x;68;0;210
.\measurementApp\cypher\run2\2_35.cypher;35;x;68;3;213
.\measurementApp\cypher\run2\2_36.cypher;36;x;68;3;216
.\measurementApp\cypher\run2\2_37.cypher;37;x;68;4;220
.\measurementApp\cypher\run2\2_38.cypher;38;x;69;0;220
.\measurementApp\cypher\run2\2_39.cypher;39;x;69;0;220
.\measurementApp\cypher\run2\2_40.cypher;40;x;69;0;220
.\measurementApp\cypher\run2\2_41.cypher;41;x;69;2;222
.\measurementApp\cypher\run2\2_42.cypher;42;x;69;0;222
.\measurementApp\cypher\run2\2_43.cypher;43;x;68;0;222
.\measurementApp\cypher\run2\2_44.cypher;44;x;69;0;222
.\measurementApp\cypher\run2\2_45.cypher;45;x;70;3;225
.\measurementApp\cypher\run2\2_46.cypher;46;x;70;0;225
.\measurementApp\cypher\run2\2_47.cypher;47;x;70;5;230
.\measurementApp\cypher\run2\2_48.cypher;48;x;70;0;230
.\measurementApp\cypher\run2\2_49.cypher;49;x;70;0;230
.\measurementApp\cypher\run2\2_50.cypher;50;x;70;0;230
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementApp\cypher\run3\3_1.cypher;1;x;78;78;78
.\measurementApp\cypher\run3\3_2.cypher;2;x;78;11;89
.\measurementApp\cypher\run3\3_3.cypher;3;x;79;11;100
.\measurementApp\cypher\run3\3_4.cypher;4;x;80;15;115
.\measurementApp\cypher\run3\3_5.cypher;5;x;80;8;123
.\measurementApp\cypher\run3\3_6.cypher;6;x;79;10;133
.\measurementApp\cypher\run3\3_7.cypher;7;x;79;4;137
.\measurementApp\cypher\run3\3_8.cypher;8;x;79;6;143
.\measurementApp\cypher\run3\3_9.cypher;9;x;79;1;144
.\measurementApp\cypher\run3\3_10.cypher;10;x;80;9;153
.\measurementApp\cypher\run3\3_11.cypher;11;x;85;18;171
.\measurementApp\cypher\run3\3_12.cypher;12;x;85;10;181
.\measurementApp\cypher\run3\3_13.cypher;13;x;88;31;212
.\measurementApp\cypher\run3\3_14.cypher;14;x;87;8;220
.\measurementApp\cypher\run3\3_15.cypher;15;x;80;4;224
.\measurementApp\cypher\run3\3_16.cypher;16;x;80;0;224
.\measurementApp\cypher\run3\3_17.cypher;17;x;80;2;226
.\measurementApp\cypher\run3\3_18.cypher;18;x;80;0;226
.\measurementApp\cypher\run3\3_19.cypher;19;x;81;3;229
.\measurementApp\cypher\run3\3_20.cypher;20;x;81;0;229
.\measurementApp\cypher\run3\3_21.cypher;21;x;80;4;233
.\measurementApp\cypher\run3\3_22.cypher;22;x;80;1;234
.\measurementApp\cypher\run3\3_23.cypher;23;x;81;13;247
.\measurementApp\cypher\run3\3_24.cypher;24;x;81;5;252
.\measurementApp\cypher\run3\3_25.cypher;25;x;81;1;253
.\measurementApp\cypher\run3\3_26.cypher;26;x;81;0;253
.\measurementApp\cypher\run3\3_27.cypher;27;x;80;4;257
.\measurementApp\cypher\run3\3_28.cypher;28;x;80;0;257
.\measurementApp\cypher\run3\3_29.cypher;29;x;81;1;258
.\measurementApp\cypher\run3\3_30.cypher;30;x;81;1;259
.\measurementApp\cypher\run3\3_31.cypher;31;x;81;0;259
.\measurementApp\cypher\run3\3_32.cypher;32;x;80;0;259
.\measurementApp\cypher\run3\3_33.cypher;33;x;86;1;260
.\measurementApp\cypher\run3\3_34.cypher;34;x;86;0;260
.\measurementApp\cypher\run3\3_35.cypher;35;x;86;0;260
.\measurementApp\cypher\run3\3_36.cypher;36;x;86;6;266
.\measurementApp\cypher\run3\3_37.cypher;37;x;79;4;270
.\measurementApp\cypher\run3\3_38.cypher;38;x;79;0;270
.\measurementApp\cypher\run3\3_39.cypher;39;x;79;0;270
.\measurementApp\cypher\run3\3_40.cypher;40;x;80;1;271
.\measurementApp\cypher\run3\3_41.cypher;41;x;79;0;271
.\measurementApp\cypher\run3\3_42.cypher;42;x;80;13;284
.\measurementApp\cypher\run3\3_43.cypher;43;x;80;4;288
.\measurementApp\cypher\run3\3_44.cypher;44;x;81;2;290
.\measurementApp\cypher\run3\3_45.cypher;45;x;80;2;292
.\measurementApp\cypher\run3\3_46.cypher;46;x;80;2;294
.\measurementApp\cypher\run3\3_47.cypher;47;x;80;0;294
.\measurementApp\cypher\run3\3_48.cypher;48;x;81;0;294
.\measurementApp\cypher\run3\3_49.cypher;49;x;80;4;298
.\measurementApp\cypher\run3\3_50.cypher;50;x;81;2;300
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementApp\cypher\run4\4_1.cypher;1;x;68;68;68
.\measurementApp\cypher\run4\4_2.cypher;2;x;68;12;80
.\measurementApp\cypher\run4\4_3.cypher;3;x;69;7;87
.\measurementApp\cypher\run4\4_4.cypher;4;x;69;1;88
.\measurementApp\cypher\run4\4_5.cypher;5;x;69;0;88
.\measurementApp\cypher\run4\4_6.cypher;6;x;69;9;97
.\measurementApp\cypher\run4\4_7.cypher;7;x;68;4;101
.\measurementApp\cypher\run4\4_8.cypher;8;x;68;0;101
.\measurementApp\cypher\run4\4_9.cypher;9;x;68;0;101
