Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementA\cypher\run3\3_36.cypher;36;x;63;2;220
.\measurementA\cypher\run3\3_37.cypher;37;x;67;0;220
.\measurementA\cypher\run3\3_38.cypher;38;x;67;1;221
.\measurementA\cypher\run3\3_39.cypher;39;x;67;0;221
.\measurementA\cypher\run3\3_40.cypher;40;x;67;0;221
.\measurementA\cypher\run3\3_41.cypher;41;x;67;0;221
.\measurementA\cypher\run3\3_42.cypher;42;x;67;0;221
.\measurementA\cypher\run3\3_43.cypher;43;x;67;1;222
.\measurementA\cypher\run3\3_44.cypher;44;x;67;0;222
.\measurementA\cypher\run3\3_45.cypher;45;x;67;0;222
.\measurementA\cypher\run3\3_46.cypher;46;x;71;3;225
.\measurementA\cypher\run3\3_47.cypher;47;x;71;0;225
.\measurementA\cypher\run3\3_48.cypher;48;x;64;0;225
.\measurementA\cypher\run3\3_49.cypher;49;x;68;1;226
.\measurementA\cypher\run3\3_50.cypher;50;x;64;0;226
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementA\cypher\run4\4_1.cypher;1;x;52;52;52
.\measurementA\cypher\run4\4_2.cypher;2;x;52;11;63
.\measurementA\cypher\run4\4_3.cypher;3;x;52;0;63
.\measurementA\cypher\run4\4_4.cypher;4;x;52;0;63
.\measurementA\cypher\run4\4_5.cypher;5;x;52;0;63
.\measurementA\cypher\run4\4_6.cypher;6;x;54;16;79
.\measurementA\cypher\run4\4_7.cypher;7;x;53;3;82
.\measurementA\cypher\run4\4_8.cypher;8;x;54;0;82
.\measurementA\cypher\run4\4_9.cypher;9;x;52;0;82
.\measurementA\cypher\run4\4_10.cypher;10;x;52;0;82
.\measurementA\cypher\run4\4_11.cypher;11;x;52;0;82
.\measurementA\cypher\run4\4_12.cypher;12;x;52;8;90
.\measurementA\cypher\run4\4_13.cypher;13;x;51;5;95
.\measurementA\cypher\run4\4_14.cypher;14;x;54;6;101
.\measurementA\cypher\run4\4_15.cypher;15;x;53;1;102
.\measurementA\cypher\run4\4_16.cypher;16;x;54;0;102
.\measurementA\cypher\run4\4_17.cypher;17;x;52;0;102
.\measurementA\cypher\run4\4_18.cypher;18;x;53;0;102
.\measurementA\cypher\run4\4_19.cypher;19;x;53;0;102
.\measurementA\cypher\run4\4_20.cypher;20;x;54;0;102
.\measurementA\cypher\run4\4_21.cypher;21;x;52;0;102
.\measurementA\cypher\run4\4_22.cypher;22;x;51;0;102
.\measurementA\cypher\run4\4_23.cypher;23;x;53;0;102
.\measurementA\cypher\run4\4_24.cypher;24;x;55;7;109
.\measurementA\cypher\run4\4_25.cypher;25;x;53;8;117
.\measurementA\cypher\run4\4_26.cypher;26;x;52;0;117
.\measurementA\cypher\run4\4_27.cypher;27;x;53;0;117
.\measurementA\cypher\run4\4_28.cypher;28;x;54;0;117
.\measurementA\cypher\run4\4_29.cypher;29;x;52;1;118
.\measurementA\cypher\run4\4_30.cypher;30;x;53;0;118
.\measurementA\cypher\run4\4_31.cypher;31;x;54;0;118
.\measurementA\cypher\run4\4_32.cypher;32;x;52;0;118
.\measurementA\cypher\run4\4_33.cypher;33;x;52;0;118
.\measurementA\cypher\run4\4_34.cypher;34;x;51;0;118
.\measurementA\cypher\run4\4_35.cypher;35;x;52;0;118
.\measurementA\cypher\run4\4_36.cypher;36;x;54;0;118
.\measurementA\cypher\run4\4_37.cypher;37;x;55;0;118
.\measurementA\cypher\run4\4_38.cypher;38;x;52;0;118
.\measurementA\cypher\run4\4_39.cypher;39;x;53;7;125
.\measurementA\cypher\run4\4_40.cypher;40;x;53;0;125
.\measurementA\cypher\run4\4_41.cypher;41;x;55;4;129
.\measurementA\cypher\run4\4_42.cypher;42;x;54;0;129
.\measurementA\cypher\run4\4_43.cypher;43;x;52;0;129
.\measurementA\cypher\run4\4_44.cypher;44;x;53;0;129
.\measurementA\cypher\run4\4_45.cypher;45;x;55;0;129
.\measurementA\cypher\run4\4_46.cypher;46;x;53;0;129
.\measurementA\cypher\run4\4_47.cypher;47;x;55;0;129
.\measurementA\cypher\run4\4_48.cypher;48;x;55;0;129
.\measurementA\cypher\run4\4_49.cypher;49;x;54;0;129
.\measurementA\cypher\run4\4_50.cypher;50;x;54;0;129
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementA\cypher\run5\5_1.cypher;1;x;52;52;52
.\measurementA\cypher\run5\5_2.cypher;2;x;53;14;66
.\measurementA\cypher\run5\5_3.cypher;3;x;53;10;76
.\measurementA\cypher\run5\5_4.cypher;4;x;52;0;76
.\measurementA\cypher\run5\5_5.cypher;5;x;52;0;76
.\measurementA\cypher\run5\5_6.cypher;6;x;53;0;76
.\measurementA\cypher\run5\5_7.cypher;7;x;53;0;76
.\measurementA\cypher\run5\5_8.cypher;8;x;55;6;82
.\measurementA\cypher\run5\5_9.cypher;9;x;53;0;82
.\measurementA\cypher\run5\5_10.cypher;10;x;53;0;82
.\measurementA\cypher\run5\5_11.cypher;11;x;55;0;82
.\measurementA\cypher\run5\5_12.cypher;12;x;55;0;82
.\measurementA\cypher\run5\5_13.cypher;13;x;56;21;103
.\measurementA\cypher\run5\5_14.cypher;14;x;58;2;105
.\measurementA\cypher\run5\5_15.cypher;15;x;53;7;112
.\measurementA\cypher\run5\5_16.cypher;16;x;54;2;114
.\measurementA\cypher\run5\5_17.cypher;17;x;54;0;114
.\measurementA\cypher\run5\5_18.cypher;18;x;53;5;119
.\measurementA\cypher\run5\5_19.cypher;19;x;54;0;119
.\measurementA\cypher\run5\5_20.cypher;20;x;53;0;119
.\measurementA\cypher\run5\5_21.cypher;21;x;54;4;123
.\measurementA\cypher\run5\5_22.cypher;22;x;53;0;123
.\measurementA\cypher\run5\5_23.cypher;23;x;54;0;123
.\measurementA\cypher\run5\5_24.cypher;24;x;53;0;123
.\measurementA\cypher\run5\5_25.cypher;25;x;53;0;123
.\measurementA\cypher\run5\5_26.cypher;26;x;56;2;125
.\measurementA\cypher\run5\5_27.cypher;27;x;56;0;125
.\measurementA\cypher\run5\5_28.cypher;28;x;54;1;126
.\measurementA\cypher\run5\5_29.cypher;29;x;54;0;126
.\measurementA\cypher\run5\5_30.cypher;30;x;56;0;126
.\measurementA\cypher\run5\5_31.cypher;31;x;54;0;126
.\measurementA\cypher\run5\5_32.cypher;32;x;54;0;126
.\measurementA\cypher\run5\5_33.cypher;33;x;54;0;126
.\measurementA\cypher\run5\5_34.cypher;34;x;56;0;126
.\measurementA\cypher\run5\5_35.cypher;35;x;56;0;126
.\measurementA\cypher\run5\5_36.cypher;36;x;54;0;126
.\measurementA\cypher\run5\5_37.cypher;37;x;54;0;126
.\measurementA\cypher\run5\5_38.cypher;38;x;56;0;126
.\measurementA\cypher\run5\5_39.cypher;39;x;57;0;126
.\measurementA\cypher\run5\5_40.cypher;40;x;57;0;126
.\measurementA\cypher\run5\5_41.cypher;41;x;57;0;126
.\measurementA\cypher\run5\5_42.cypher;42;x;59;1;127
.\measurementA\cypher\run5\5_43.cypher;43;x;59;0;127
.\measurementA\cypher\run5\5_44.cypher;44;x;59;0;127
.\measurementA\cypher\run5\5_45.cypher;45;x;59;0;127
.\measurementA\cypher\run5\5_46.cypher;46;x;59;0;127
.\measurementA\cypher\run5\5_47.cypher;47;x;59;0;127
.\measurementA\cypher\run5\5_48.cypher;48;x;59;5;132
.\measurementA\cypher\run5\5_49.cypher;49;x;59;0;132
.\measurementA\cypher\run5\5_50.cypher;50;x;59;0;132
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementA\cypher\run6\6_1.cypher;1;x;59;59;59
.\measurementA\cypher\run6\6_2.cypher;2;x;58;6;65
.\measurementA\cypher\run6\6_3.cypher;3;x;59;8;73
.\measurementA\cypher\run6\6_4.cypher;4;x;62;20;93
.\measurementA\cypher\run6\6_5.cypher;5;x;62;10;103
.\measurementA\cypher\run6\6_6.cypher;6;x;62;10;113
.\measurementA\cypher\run6\6_7.cypher;7;x;59;7;120
.\measurementA\cypher\run6\6_8.cypher;8;x;60;0;120
.\measurementA\cypher\run6\6_9.cypher;9;x;60;0;120
.\measurementA\cypher\run6\6_10.cypher;10;x;60;1;121
.\measurementA\cypher\run6\6_11.cypher;11;x;59;4;125
.\measurementA\cypher\run6\6_12.cypher;12;x;60;1;126
.\measurementA\cypher\run6\6_13.cypher;13;x;60;0;126
.\measurementA\cypher\run6\6_14.cypher;14;x;60;2;128
.\measurementA\cypher\run6\6_15.cypher;15;x;58;4;132
.\measurementA\cypher\run6\6_16.cypher;16;x;59;0;132
.\measurementA\cypher\run6\6_17.cypher;17;x;59;0;132
.\measurementA\cypher\run6\6_18.cypher;18;x;59;0;132
.\measurementA\cypher\run6\6_19.cypher;19;x;60;4;136
.\measurementA\cypher\run6\6_20.cypher;20;x;60;2;138
.\measurementA\cypher\run6\6_21.cypher;21;x;60;4;142
.\measurementA\cypher\run6\6_22.cypher;22;x;60;0;142
.\measurementA\cypher\run6\6_23.cypher;23;x;59;2;144
.\measurementA\cypher\run6\6_24.cypher;24;x;60;0;144
.\measurementA\cypher\run6\6_25.cypher;25;x;59;0;144
.\measurementA\cypher\run6\6_26.cypher;26;x;60;0;144
.\measurementA\cypher\run6\6_27.cypher;27;x;64;6;150
.\measurementA\cypher\run6\6_28.cypher;28;x;64;6;156
.\measurementA\cypher\run6\6_29.cypher;29;x;64;6;162
.\measurementA\cypher\run6\6_30.cypher;30;x;68;10;172
.\measurementA\cypher\run6\6_31.cypher;31;x;68;0;172
.\measurementA\cypher\run6\6_32.cypher;32;x;68;9;181
.\measurementA\cypher\run6\6_33.cypher;33;x;68;9;190
.\measurementA\cypher\run6\6_34.cypher;34;x;63;4;194
.\measurementA\cypher\run6\6_35.cypher;35;x;63;2;196
.\measurementA\cypher\run6\6_36.cypher;36;x;63;3;199
.\measurementA\cypher\run6\6_37.cypher;37;x;63;0;199
.\measurementA\cypher\run6\6_38.cypher;38;x;63;2;201
.\measurementA\cypher\run6\6_39.cypher;39;x;63;0;201
.\measurementA\cypher\run6\6_40.cypher;40;x;63;5;206
.\measurementA\cypher\run6\6_41.cypher;41;x;63;5;211
.\measurementA\cypher\run6\6_42.cypher;42;x;63;1;212
.\measurementA\cypher\run6\6_43.cypher;43;x;61;3;215
.\measurementA\cypher\run6\6_44.cypher;44;x;61;0;215
.\measurementA\cypher\run6\6_45.cypher;45;x;61;0;215
.\measurementA\cypher\run6\6_46.cypher;46;x;61;0;215
.\measurementA\cypher\run6\6_47.cypher;47;x;60;4;219
.\measurementA\cypher\run6\6_48.cypher;48;x;60;0;219
.\measurementA\cypher\run6\6_49.cypher;49;x;60;0;219
.\measurementA\cypher\run6\6_50.cypher;50;x;60;0;219
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementA\cypher\run7\7_1.cypher;1;x;60;60;60
.\measurementA\cypher\run7\7_2.cypher;2;x;58;13;73
.\measurementA\cypher\run7\7_3.cypher;3;x;59;0;73
.\measurementA\cypher\run7\7_4.cypher;4;x;59;0;73
.\measurementA\cypher\run7\7_5.cypher;5;x;59;8;81
.\measurementA\cypher\run7\7_6.cypher;6;x;59;0;81
.\measurementA\cypher\run7\7_7.cypher;7;x;58;6;87
.\measurementA\cypher\run7\7_8.cypher;8;x;60;0;87
.\measurementA\cypher\run7\7_9.cypher;9;x;59;0;87
.\measurementA\cypher\run7\7_10.cypher;10;x;60;0;87
.\measurementA\cypher\run7\7_11.cypher;11;x;58;0;87
.\measurementA\cypher\run7\7_12.cypher;12;x;59;3;90
.\measurementA\cypher\run7\7_13.cypher;13;x;61;14;104
.\measurementA\cypher\run7\7_14.cypher;14;x;62;5;109
.\measurementA\cypher\run7\7_15.cypher;15;x;62;0;109
.\measurementA\cypher\run7\7_16.cypher;16;x;62;9;118
.\measurementA\cypher\run7\7_17.cypher;17;x;62;0;118
.\measurementA\cypher\run7\7_18.cypher;18;x;62;10;128
.\measurementA\cypher\run7\7_19.cypher;19;x;63;4;132
.\measurementA\cypher\run7\7_20.cypher;20;x;63;0;132
.\measurementA\cypher\run7\7_21.cypher;21;x;63;0;132
.\measurementA\cypher\run7\7_22.cypher;22;x;63;0;132
.\measurementA\cypher\run7\7_23.cypher;23;x;60;7;139
.\measurementA\cypher\run7\7_24.cypher;24;x;60;3;142
.\measurementA\cypher\run7\7_25.cypher;25;x;59;4;146
.\measurementA\cypher\run7\7_26.cypher;26;x;60;0;146
.\measurementA\cypher\run7\7_27.cypher;27;x;60;0;146
